분류,의미,용어,용어(예시),예시의미,족보여부,ppt여부
연결형,middle (가운데),medi/o,medial,"안쪽, 내측",,
연결형,side (옆),later/o,lateral,"가측, 외측",,
연결형,아랫등: 옆구리와 등 부위,lumb/o,lumbosacral,"허리엉치, 요천골",,
연결형,nucleus (핵),nucle/o,nucleic,핵형,,
연결형,pelvis (골반),pelv/i,pelvic,골반,,
연결형,"sacrum (엉치뼈, 천골)",sacr/o,sacral,"엉치, 엉치뼈, 천골",,
연결형,"ilium (엉덩뼈, 장골)",ili/o,iliac,"엉덩, 엉덩뼈, 장골",,
연결형,"척추, 척추뼈",spin/o,spinal,"척추, 척주, 척수",,
연결형,가슴,thorac/o,"thoracic, throacotomy","가슴, 흉, 가슴절개술, 개흉술",,
연결형,trachea (기관),trache/o,tracheal,기관,o,
연결형,"umbilicus (배꼽, 제)",umbilic/o,umbilical,"탯줄, 배꼽",o,
연결형,vertebra (척추뼈),vertebr/o,vertebral,척추,,
연결형,internal organ (내장),viscer/o,visceral,내장,o,
연결형,사이,inter-,intervertebral,"척추사이, 추간",,o
연결형,변화,meta-,metabolism,대사,,
연결형,"에 관한, 에 속한",~eal,,,,
연결형,"에 관한, 에 속한",~iac,,,,
연결형,"에 관한, 에 속한",~ior,,,,
연결형,"과정, 상태",~ism,,,,
연결형,"에 관한/ 속한, 로 가득 찬",~ose,,,,
연결형,"formation (형성, 형체, 체)",~plasm,,,,
연결형,"(몸통, 체, 소체)",~some,,,,
연결형,"형상, 분류",~type,,,,
단수/복수,vertebra,vertebrae,,,o,
단수/복수,bursa,bursae,,,,
단수/복수,bulla,bullae,,,,
단수/복수,anastomosis,anastomoses,,,,
단수/복수,metastasis,metastases,,,,
단수/복수,epiphysis,epiphyses,,,,
단수/복수,prosthesis,prostheses,,,,
단수/복수,pubis,pubes,,,,
단수/복수,apex,apices,,,o,
단수/복수,varix,varices,,,,
단수/복수,ganglion,ganglia,,,o,
단수/복수,spermatozoon,spermatozoa,,,,
단수/복수,bacterium,bacteria,,,,
단수/복수,diverticulum,diverticula,,,,
단수/복수,ovum,ova,,,o,
단수/복수,calculus,calculi,,,,
단수/복수,bronchus,bronchi,,,o,
단수/복수,nucleus,nuclei,,,,
단수/복수,foramen,foramina,,,,
단수/복수,iris,irides,,,,
단수/복수,femur,femora,,,,
단수/복수,anomaly,anomalies,,,,
단수/복수,biopsy,biopsies,,,,
단수/복수,adenoma,adenomata,,,,
접미사,pain (통증),algia," arthralgia, otalgia, neuralgia, myalgia","관절통, 귀통증, 신경통, 근육통",o,
접미사,hernia (탈장),cele,"rectocele, cystocele","직장탈출, 방광탈출",o,
접미사,바늘로 뚫어 액체 제거 방법,centesis,"thoracentesis, abdominocentesis","흉강천자, 복부천자술",o,o
